Airliner_code,Airliner_name,Airliner_RT
FLC ,FINFO Flight Inspection Aircraft ,FLIGHT CHECK 
FKI ,FLM Aviation Mohrdieck ,KIEL AIR 
DCM ,FLTPLAN (anonymized service) ,DOT COM 
FLW ,FLowair Aviation ,QUICKFLOW 
FMG ,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt ,HUSKY 
FRA ,FR Aviation ,RUSHTON 
FSB ,FSB Flugservice & Development ,SEABIRD 
LEJ ,FSH Luftfahrtunternehmen ,LEIPZIG FAIR 
FBA ,Fab Air ,FAB AIR 
FCS ,Facts Air ,MEXFACTS 
FAV ,Fair Aviation ,FAIRAVIA 
FWD ,Fair Wind Air Charter ,FAIR WIND 
FLS ,Fairlines ,FAIRLINE 
FFC ,Fairoaks Flight Centre ,FAIROAKS 
FWY ,Fairways Corporation ,FAIRWAYS 
FCN ,Falcon Air ,FALCON 
FAR ,Falcon Air ,FALCAIR 
FAO ,Falcon Air Express ,PANTHER 
FAU ,Falcon Airline ,FALCON AIRLINE 
FVS ,Falcon Aviation Services ,FALCON AVIATION 
FJC ,Falcon Jet Centre ,FALCONJET 
FAW ,Falwell Aviation ,FALWELL 
FEA ,Far Eastern Air Transport ,Far Eastern 
,Royal Flying Doctor Service ,FLYDOC 
FDL ,Farmingdale State University ,FARMINGDALE STATE 
FAH ,Farnair Hungary ,BLUE STRIP 
FRN ,Farnair Netherlands ,FARNED 
FAT ,ASL Airlines Switzerland ,FARNER 
RAF ,Farnas Aviation Services ,FARNAS 
HBL ,Faroecopter ,HELIBLUE 
RCK ,FaroeJet ,ROCKROSE 
FRW ,Farwest Airlines ,FARWEST 
FSW ,Faso Airways ,FASO 
FHL ,Fast Helicopters ,FINDON 
FAY ,Fayban Air Services ,FAYBAN AIR 
SKM ,Fayetteville Flying Service and Scheduled Skyways System ,SKYTEM 
FDR ,Federal Air ,FEDAIR 
FLL ,Federal Airlines ,FEDERAL AIRLINES 
DCN ,Federal Armed Forces ,DIPLOMATIC CLEARANCE 
FRM ,Federal Armored Service ,FEDARM 
NHK ,Federal Aviation Administration ,NIGHTHAWK 
FDX ,FedEx Express ,FEDEX 
FNK ,Feniks Airline ,AURIKA 
FER ,Feria Aviación ,FERIA 
HGK ,Fika Salaama Airlines ,SALAAMA 
FNC ,Finalair Congo ,FINALAIR CONGO 
FAK ,Financial Airxpress ,FACTS 
FBF ,Fine Airlines ,FINE AIR 
FTR ,Finist'air ,FINISTAIR 
FIN ,Finnair ,FINNAIR 
WBA ,Finncomm Airlines ,WESTBIRD 
FNF ,Finnish Air Force ,FINNFORCE 
FFM ,Firefly ,FIREFLY 
FAB ,First Air ,FIRST AIR 
FCC ,First Cambodia Airlines ,FIRST CAMBODIA 
FCA ,First Choice Airways ,JETSET 
MBL ,First City Air ,FIRST CITY 
GGA ,First Flying Squadron ,JAWJA 
FIR ,First Line Air ,FIRSTLINE AIR 
FTS ,First Sabre ,FIRST SABRE 
FFR ,Fischer Air ,FISCHER 
FFP ,Fischer Air Polska ,FLYING FISH 
EXV ,FitsAir ,EXPOAVIA 
FSX ,Flagship Express Services ,FLAG 
FLE ,Flair Airlines ,FLAIR 
WAF ,Flamenco Airways ,FLAMENCO 
FMR ,Flamingo Air ,FLAMINGO AIR 
FLN ,Flamingo Air-Line ,ILIAS 
FSH ,Flash Airlines ,FLASH 
BWY ,Fleet Requirements Air Direction Unit ,BROADWAY 
FLR ,Fleetair ,FLEETAIR 
FXY ,Flexair ,FLEXY 
TUD ,Flight Alaska ,TUNDRA 
FCK ,FCS Flight Calibration Services ,NAV CHECKER 
VOR ,Flight Calibration Services Ltd. ,FLIGHT CAL 
FCV ,Flight Centre Victoria ,NAVAIR 
FCP ,Nelson Aviation College Ltd ,FLIGHTCORP 
FLX ,"Flight Express, Inc. ",FLIGHT EXPRESS 
CFI ,Flight Inspection Center of the General Administration of Civil Aviation in China ,CHINA JET 
LTS ,Flight Inspections and Systems ,SPECAIR 
IVJ ,Flight International ,INVADER JACK 
MIT ,Flight Line ,MATCO 
OPT ,Flight Options ,OPTIONS 
CLB ,Flight Precision Limited ,CALIBRATOR 
FSL ,Flight Safety Limited ,FLIGHTSAFETY 
CCK ,Flight Trac ,CABLE CHECK 
AYR ,Flight Training Europe ,CYGNET 
FWQ ,Flight West Airlines ,UNITY 
KLO ,Flight-Ops International ,KLONDIKE 
CSK ,Flightcraft ,CASCADE 
FEX ,Flightexec ,FLIGHTEXEC 
FLT ,Flightline ,FLIGHTLINE 
FTL ,Flightline ,FLIGHT-AVIA 
FPS ,Flightpass Limited ,FLIGHTPASS 
FSR ,Flightstar Corporation ,FLIGHTSTAR 
KDZ ,Flightworks ,KUDZU 
FAZ ,Flint Aviation Services ,FLINT AIR 
OJY ,Florida Air ,OHJAY 
FCL ,Florida Coastal Airlines ,FLORIDA COASTAL 
FFS ,Florida Department of Agriculture ,FORESTRY 
FJS ,Florida Jet Service ,FLORIDAJET 
FWL ,Florida West International Airways ,FLO WEST 
FFG ,Flugdienst Fehlhaber ,WITCHCRAFT 
FLU ,Flugschule Basel ,YELLOW FLYER 
EZB ,Flugschule Eichenberger ,EICHENBURGER 
EDR ,Fly All Ways ,BIRDVIEW 
FLM ,Fly Air ,FLY WORLD 
FCT ,Fly CI Limited ,DEALER 
FEE ,Fly Europa Limited ,FLY EURO 
FXL ,Fly Excellent ,FLY EXCELLENT 
NVJ ,Fly International Airways ,NOUVINTER 
FJM ,Fly Jamaica Airways ,GREENHEART 
FIL ,Fly Line ,FLYLINE 
FLY ,Fly Me Sweden ,FLYBIRD 
IAD ,Fly Wex ,FLYWEX 
XFA ,FlyAsianXpress ,FAX AIR 
FBZ ,Flybondi ,BONDI 
LIL ,FlyLal ,LITHUANIA AIR 
NDC ,FlyNordic ,NORDIC 
BBO ,Flybaboo ,BABOO 
BEE ,Flybe ,JERSEY 
FCE ,Flycolumbia ,FLYCOLUMBIA 
FLO ,Flycom ,FLYCOM 
GVG ,Flygaktiebolaget Gota Vingar ,BLUECRAFT 
GSM ,Flyglobespan ,GLOBESPAN 
ETS ,Flygtransporter I Nykoping ,EXTRANS 
INU ,Flyguppdraget Backamo ,INSTRUCTOR 
FYH ,Flyhy Cargo Airlines ,FLY HIGH 
FCR ,Flying Carpet Company ,FLYING CARPET 
FYG ,Flying Service ,FLYING GROUP 
FGP ,Flying-Research Aerogeophysical Center ,FLYING CENTER 
FLK ,Flylink Express ,FLYLINK 
FRE ,FlyPelican ,PELICAN 
FTM ,Flyteam Aviation ,FLYTEAM 
FKS ,Focus Air ,FOCUS 
NOF ,Fonnafly ,FONNA 
FOB ,Ford Motor Company ,FORDAIR 
FOR ,Formula One Management ,FORMULA 
FHS ,Forth and Clyde Helicopter Services ,HELISCOT 
FXC ,Fortunair Canada ,AIR FUTURE 
FSA ,Foster Aviation ,FOSTER-AIR 
JFY ,Foster Yeoman ,YEOMAN 
FTE ,Fotografia F3 ,FOTOGRAFIA 
FIA ,Fly One ,Fly One 
FSC ,Four Star Aviation / Four Star Cargo ,FOUR STAR 
WDS ,Four Winds Aviation ,WINDS 
FXR ,Foxair ,WILDFOX 
FDO ,France Douanes ,FRENCH CUSTOM 
FHY ,Freebird Airlines ,FREEBIRD AIR 
FOM ,Freedom Air ,FREE AIR 
FRE ,Freedom Air ,FREEDOM 
FFF ,Freedom Air Services ,INTER FREEDOM 
FRL ,Freedom Airlines ,FREEDOM AIR 
FAS ,Freedom Airways ,FREEDOM AIRWAYS 
FWC ,Freeway Air ,FREEWAY 
FRG ,Freight Runners Express ,FREIGHT RUNNERS 
FAF ,Force Aerienne Francaise ,FRENCH AIR FORCE 
FMY ,Aviation Legere De L'Armee De Terre ,FRENCH ARMY 
FNY ,France Marine Nationale ,FRENCH NAVY 
FRR ,Fresh Air ,FRESH AIR 
BZY ,Fresh Air Aviation ,BREEZY 
FAE ,Freshaer ,WILDGOOSE 
FAL ,Friendship Air Alaska ,FRIENDSHIP 
FLF ,Friendship Airlines ,FRIEND AIR 
FFT ,Frontier Airlines ,FRONTIER FLIGHT 
ITR ,Frontier Commuter ,OUT BACK 
FTA ,Frontier Flying Service ,FRONTIER-AIR 
FNG ,Frontier Guard ,FINNGUARD 
FUJ ,Fujairah Aviation Centre ,FUJAIRAH 
CFJ ,Fujian Airlines ,FUJIAN 
GAX ,Full Express ,GRAND AIRE 
FAM ,Fumigación Aérea Andaluza ,FAASA 
FFY ,Fun Flying Thai Air Service ,FUN FLYING 
ROG ,FundaciÃ³ Rego ,REGO 
FUN ,Funtshi Aviation Service ,FUNTSHI 
FGL ,Futura Gael ,Applewood 
FUA ,Futura International Airways ,FUTURA 
FDB ,Flydubai ,SKYDUBAI 
ACT ,Flight Line ,AMERICAN CHECK 
FGE ,Fly Georgia ,GEORGIA WING 
FRF ,Fleet Air International ,FAIRFLEET 
FVK ,FlyViking ,BALDER 
PVV,Fly Pro ,Sunday 
FEG ,FlyEgypt ,SKY EGYPT 
GRL ,Air Greenland ,GREENLAND 
DBC ,Gemini Air Group ,DIAMOND BACK 
GCH ,Gama Aviation Switzerland ,GAMA SWISS 
GBC ,Guangxi Beibu Gulf Airlines ,SPRAY 
GOP ,Gospa Air ,GOSPA AIR 
HGT ,GMJ Air Shuttle ,HIGHTECH 
GMQ ,Germania Express ,CORGI 
KNM ,GB Helicopters ,KINGDOM 
GCW ,Global Air Crew ,GLOBALCREW 
GMR ,Golden Myanmar Airlines ,GOLDEN MYANMAR 
GML ,G & L Aviation ,GEEANDEL 
EXH ,G5 Executive ,BATMAN 
MTA ,GAK/Mitchell Aero ,GAK AVIATION 
GGS ,GATSA ,GATSA 
GBX ,GB Airlink ,ISLAND TIGER 
